39,77516, Bachelors, White, Male,40, United-States
44,265266, 10th, White, Male,40, United-States
38,203836, HS-grad, White, Male,40, Columbia
51,163998, HS-grad, White, Male,20, United-States
46,28281, Bachelors, White, Male,40, United-States
51,293196, Doctorate, White, Male,60, Iran
45,214627, Doctorate, White, Male,40, Iran
20,368852, Some-college, White, Female,20, United-States
44,353396, Bachelors, White, Male,45, United-States
33,161745, Assoc-voc, White, Male,45, United-States
18,97963, HS-grad, White, Female,30, United-States
61,156542, Prof-school, White, Male,40, United-States
50,198103, Bachelors, White, Female,40, United-States
47,55377, HS-grad, Black, Male,40, United-States
34,173730, Bachelors, White, Male,50, United-States
53,374588, HS-grad, Black, Male,60, United-States
39,174330, Some-college, White, Male,40, United-States
58,78141, HS-grad, White, Male,40, United-States
66,190324, HS-grad, Black, Male,18, United-States
26,31350, 11th, White, Male,50, United-States
41,243607, 5th-6th, White, Male,40, Mexico
47,134671, Some-college, White, Male,40, United-States
31,197023, Assoc-voc, Amer-Indian-Eskimo, Male,40, United-States
52,117674, Some-college, White, Male,40, United-States
29,169815, Assoc-acdm, White, Male,50, United-States
43,598606, 9th, Black, Female,50, United-States
42,122861, Masters, White, Male,40, United-States
35,166235, Some-college, Black, Female,30, United-States
41,187821, HS-grad, White, Male,40, United-States
34,340940, Bachelors, White, Male,60, United-States
52,194791, Some-college, White, Male,40, United-States
61,231323, Some-college, White, Male,40, United-States
39,305597, HS-grad, White, Male,40, United-States
19,25429, Some-college, White, Female,25, United-States
46,192779, Bachelors, White, Male,40, United-States
39,346478, Some-college, White, Male,45, United-States
22,341368, Some-college, White, Male,50, United-States
30,295612, HS-grad, White, Female,40, United-States
40,168936, Assoc-voc, White, Female,32, United-States
43,218558, Bachelors, White, Male,40, United-States
37,336598, 5th-6th, White, Male,36, Mexico
23,308205, Assoc-acdm, White, Male,20, United-States
39,357173, Assoc-acdm, White, Male,59, United-States
54,457237, Masters, White, Male,40, United-States
46,284799, Some-college, White, Male,60, United-States
20,179423, Some-college, White, Female,40, United-States
50,363405, Bachelors, White, Female,50, United-States
17,139183, 10th, White, Female,15, United-States
36,203482, HS-grad, White, Male,40, United-States
37,112554, HS-grad, White, Male,45, United-States
53,99476, HS-grad, White, Female,38, United-States
50,93690, HS-grad, White, Male,40, United-States
38,220585, HS-grad, White, Male,40, United-States
63,194638, HS-grad, White, Male,32, United-States
53,154785, HS-grad, White, Male,50, United-States
40,162108, Bachelors, White, Female,50, United-States
23,214542, Some-college, White, Male,50, United-States
20,161922, HS-grad, White, Male,43, United-States
46,207940, Some-college, Black, Male,40, United-States
28,259351, 10th, Amer-Indian-Eskimo, Male,40, Mexico
59,208395, Masters, White, Male,50, United-States
41,116391, Bachelors, White, Male,40, United-States
33,239781, Preschool, White, Male,40, Mexico
56,174351, 12th, White, Male,40, Italy
50,44368, HS-grad, White, Male,55, El-Salvador
31,188798, Bachelors, White, Female,50, United-States
41,50122, Assoc-voc, White, Male,50, United-States
38,111398, Bachelors, White, Female,40, United-States
25,152035, Assoc-acdm, White, Female,40, United-States
18,139003, HS-grad, Other, Female,12, United-States
49,249289, Bachelors, Black, Female,40, United-States
39,257726, Some-college, White, Male,40, United-States
22,113175, Some-college, White, Female,20, United-States
21,151158, Some-college, White, Female,25, United-States
35,465326, Bachelors, White, Male,40, United-States
21,356772, HS-grad, White, Female,40, United-States
38,364782, HS-grad, White, Male,40, United-States
55,198385, 7th-8th, White, Female,20, NA
31,329301, HS-grad, White, Male,55, United-States
17,254859, 11th, White, Male,20, United-States
31,203488, Bachelors, White, Male,50, United-States
25,222800, Bachelors, White, Male,40, United-States
39,96452, Masters, White, Male,55, United-States
50,170050, 7th-8th, White, Male,40, United-States
38,116580, Bachelors, White, Female,20, United-States
50,400004, Some-college, White, Male,60, United-States
63,183608, 10th, White, Male,40, United-States
31,194055, HS-grad, White, Male,50, United-States
23,210443, Bachelors, White, Female,40, United-States
18,43272, Some-college, White, Male,20, United-States
43,108945, Bachelors, White, Female,48, United-States
34,114691, Some-college, White, Male,50, United-States
18,304169, 11th, White, Male,35, United-States
46,503923, HS-grad, Black, Male,40, United-States
35,340428, Bachelors, White, Female,40, United-States
46,106705, Masters, White, Female,38, United-States
59,146391, Assoc-voc, White, Male,40, United-States
31,235389, 7th-8th, White, Female,30, Portugal
27,39665, HS-grad, White, Female,37, United-States
41,113823, Masters, White, Male,40, England
42,217826, HS-grad, Black, Male,40, NA
55,349304, Bachelors, White, Male,40, United-States
34,197688, HS-grad, Black, Female,40, United-States
44,54507, HS-grad, White, Female,40, United-States
26,117833, Bachelors, White, Female,50, United-States
36,163396, Assoc-voc, White, Female,40, United-States
69,88566, 9th, White, Male,35, United-States
33,323619, Some-college, White, Female,40, United-States
30,75755, Assoc-voc, White, Male,40, United-States
35,148903, HS-grad, White, Female,16, United-States
25,40915, Bachelors, White, Female,40, United-States
21,182606, Some-college, Black, Male,40, NA
18,131033, 11th, Black, Male,15, United-States
35,168475, Some-college, White, Male,60, United-States
20,121568, HS-grad, White, Male,50, United-States
26,139098, Masters, White, Male,40, United-States
46,357338, Bachelors, White, Male,40, United-States
31,283268, Bachelors, White, Female,36, United-States
40,572751, Prof-school, White, Male,40, Mexico
40,315321, HS-grad, White, Female,52, United-States
31,120461, Bachelors, White, Female,40, United-States
32,65278, Doctorate, White, Male,40, United-States
23,208503, Some-college, White, Male,40, United-States
25,112835, Masters, White, Male,40, United-States
37,265038, Some-college, White, Male,50, United-States
18,89478, Some-college, White, Female,20, United-States
55,276229, HS-grad, White, Female,38, United-States
52,366232, 9th, White, Female,40, Cuba
26,152035, HS-grad, White, Female,40, United-States
37,205339, Some-college, White, Male,40, United-States
39,75995, HS-grad, White, Female,45, United-States
62,192236, Bachelors, White, Female,40, United-States
19,188618, Some-college, White, Female,25, United-States
47,229737, HS-grad, White, Male,45, United-States
51,199688, Bachelors, White, Male,40, United-States
55,52953, HS-grad, White, Female,40, United-States
30,221043, HS-grad, White, Male,35, United-States
59,115389, Some-college, White, Male,36, United-States
45,204205, 10th, White, Male,65, United-States
52,338816, Some-college, White, Male,45, United-States
21,197387, HS-grad, White, Male,20, United-States
31,42485, HS-grad, White, Male,55, United-States
29,367706, Some-college, Black, Male,40, United-States
24,102493, HS-grad, White, Male,40, United-States
17,263746, 10th, White, Male,24, United-States
47,115358, HS-grad, Black, Female,40, United-States
46,189680, Some-college, White, Male,50, United-States
32,282622, HS-grad, White, Female,28, United-States
34,127651, 10th, White, Male,44, NA
63,230823, 12th, White, Male,40, Cuba
21,300812, Some-college, White, Male,25, United-States
18,174732, HS-grad, Black, Male,36, United-States
49,183710, Doctorate, White, Male,50, United-States
81,137018, HS-grad, White, Female,20, United-States
36,213008, Assoc-acdm, White, Male,40, United-States
47,357848, HS-grad, White, Male,40, United-States
36,165799, Masters, White, Male,50, United-States
39,188571, Assoc-voc, White, Male,60, United-States
46,97883, Bachelors, White, Female,35, United-States
43,105862, Some-college, White, Female,40, United-States
39,57424, Bachelors, White, Female,35, United-States
29,151476, Some-college, White, Female,40, United-States
23,129583, HS-grad, Black, Female,16, United-States
57,180920, 10th, White, Male,43, United-States
38,182416, HS-grad, Black, Female,42, United-States
25,251915, Bachelors, White, Female,40, United-States
39,187127, Some-college, White, Male,40, United-States
24,69045, Some-college, Black, Male,40, Jamaica
56,192869, Masters, White, Male,44, United-States
39,74163, 12th, White, Female,40, United-States
23,60847, Assoc-voc, White, Female,60, United-States
17,213055, 11th, Other, Female,20, United-States
67,116057, HS-grad, White, Female,16, United-States
41,82393, Bachelors, Asian-Pac-Islander, Male,50, United-States
24,134181, Bachelors, White, Female,50, United-States
51,159910, Bachelors, Black, Male,40, United-States
30,117570, HS-grad, White, Female,60, United-States
47,214169, HS-grad, White, Male,40, United-States
56,56331, HS-grad, White, Male,32, United-States
51,35576, HS-grad, White, Male,38, United-States
57,149168, Some-college, White, Male,55, United-States
34,157165, Some-college, White, Female,40, United-States
24,278130, Bachelors, White, Male,40, United-States
57,257200, HS-grad, White, Male,40, United-States
38,283122, HS-grad, White, Male,40, United-States
23,580248, HS-grad, White, Female,40, United-States
35,230054, 7th-8th, White, Male,40, Mexico
58,519006, HS-grad, White, Male,52, United-States
19,37332, HS-grad, White, Female,12, United-States
19,365871, 7th-8th, White, Male,40, Mexico
68,235882, Doctorate, White, Male,60, United-States
43,336513, Some-college, White, Male,40, United-States
17,115551, 11th, White, Female,20, United-States
53,50048, Doctorate, White, Male,50, United-States
37,382802, Doctorate, Black, Male,99, United-States
21,180303, Bachelors, Asian-Pac-Islander, Male,25, NA
63,106023, HS-grad, White, Male,40, United-States
31,332379, Some-college, White, Male,50, United-States
29,95465, HS-grad, White, Male,40, United-States
43,96102, Some-college, White, Male,40, United-States
27,36440, Prof-school, White, Female,65, United-States
25,209384, HS-grad, White, Male,32, United-States
28,50814, HS-grad, White, Female,40, United-States
54,143865, HS-grad, White, Female,35, United-States
74,104661, Some-college, White, Female,12, United-States
31,50442, Some-college, Amer-Indian-Eskimo, Female,32, United-States
23,236601, Some-college, White, Male,48, United-States
19,100999, Bachelors, White, Female,30, United-States
39,362685, Preschool, White, Female,20, El-Salvador
61,32423, HS-grad, White, Female,40, United-States
59,154236, HS-grad, White, Female,40, United-States
27,153546, Assoc-voc, White, Female,36, United-States
19,182355, Some-college, Black, Female,20, United-States
23,191444, HS-grad, White, Male,40, United-States
25,44216, HS-grad, Amer-Indian-Eskimo, Female,35, United-States
40,97688, Some-college, White, Male,48, United-States
53,209022, 11th, White, Female,37, United-States
32,96016, Bachelors, White, Male,45, United-States
72,52138, Doctorate, White, Male,25, United-States
61,159046, 7th-8th, White, Male,40, United-States
42,138634, HS-grad, White, Male,40, United-States
17,130125, 10th, Amer-Indian-Eskimo, Female,20, United-States
73,247355, HS-grad, White, Male,16, Canada
41,227065, Some-college, White, Male,40, United-States
23,244771, Some-college, Black, Female,20, Jamaica
23,215616, HS-grad, White, Female,40, Canada
65,386672, Assoc-voc, White, Male,15, United-States
45,177543, HS-grad, White, Female,50, United-States
52,617021, Bachelors, Black, Male,40, United-States
24,117109, Bachelors, Black, Female,27, United-States
23,373550, Assoc-voc, White, Male,40, United-States
30,19847, Some-college, White, Female,40, United-States
26,189590, Bachelors, White, Male,40, United-States
37,58343, HS-grad, White, Male,56, United-States
17,354201, HS-grad, White, Male,40, United-States
31,119422, HS-grad, White, Male,40, United-States
52,363405, HS-grad, White, Female,40, United-States
63,181863, Bachelors, White, Male,27, United-States
27,194472, HS-grad, White, Female,60, United-States
31,247328, 9th, White, Male,40, Mexico
71,130731, HS-grad, White, Female,35, United-States
35,236910, Bachelors, White, Male,60, United-States
44,378251, HS-grad, White, Female,38, United-States
36,120760, Masters, Asian-Pac-Islander, Male,40, China
22,203182, Bachelors, White, Female,20, United-States
32,130304, HS-grad, White, Male,48, United-States
30,352542, Bachelors, White, Female,40, United-States
60,191024, HS-grad, White, Male,40, United-States
25,197728, Some-college, White, Female,40, United-States
76,316185, 7th-8th, White, Female,12, United-States
41,89226, HS-grad, White, Male,40, United-States
26,292353, 7th-8th, Other, Male,40, United-States
45,304570, 12th, Asian-Pac-Islander, Male,40, NA
32,180296, Some-college, White, Female,40, United-States
22,361487, HS-grad, White, Male,40, United-States
39,218490, Bachelors, White, Male,40, United-States
63,231777, Bachelors, White, Male,40, United-States
23,189832, Assoc-acdm, White, Female,40, United-States
61,232308, 10th, White, Male,40, United-States
31,33308, Assoc-voc, White, Male,40, United-States
25,333677, 9th, White, Male,45, United-States
33,170651, HS-grad, White, Female,40, United-States
39,343403, HS-grad, White, Female,36, United-States
53,166386, Bachelors, Asian-Pac-Islander, Female,40, China
26,48099, Bachelors, White, Female,40, United-States
21,143062, Some-college, White, Male,32, United-States
18,104704, HS-grad, Black, Male,40, United-States
34,30497, Bachelors, White, Male,60, United-States
44,174325, Masters, Black, Male,40, United-States
31,286675, HS-grad, White, Male,50, United-States
44,59474, HS-grad, White, Male,40, United-States
42,378384, Prof-school, White, Male,60, United-States
43,245842, HS-grad, White, Male,44, Mexico
33,274222, Bachelors, Asian-Pac-Islander, Male,38, United-States
21,342575, Some-college, Black, Female,30, United-States
30,206051, HS-grad, White, Male,40, United-States
55,234213, HS-grad, White, Male,60, United-States
57,145189, Some-college, White, Female,40, United-States
37,233490, HS-grad, White, Male,50, United-States
32,344129, HS-grad, White, Male,40, United-States
62,171315, Bachelors, White, Male,60, United-States
31,181485, Bachelors, Black, Male,40, United-States
51,255412, Bachelors, White, Male,50, France
37,262409, Masters, White, Female,45, United-States
45,199590, 5th-6th, White, Male,38, Mexico
47,84726, Some-college, White, Male,40, United-States
31,226883, HS-grad, White, Male,75, United-States
75,184335, 11th, White, Male,30, United-States
43,102025, Masters, Other, Male,50, United-States
39,183898, Assoc-acdm, White, Male,60, Germany
30,55291, Bachelors, White, Male,40, United-States
27,150025, 5th-6th, White, Male,40, Guatemala
44,100584, HS-grad, Amer-Indian-Eskimo, Male,40, United-States
53,181755, Masters, White, Female,35, United-States
40,150528, Bachelors, White, Male,40, United-States
18,107277, 11th, White, Female,20, United-States
33,247205, Bachelors, Black, Male,40, England
20,291979, HS-grad, White, Male,40, United-States
38,270985, Some-college, Black, Male,50, United-States
48,62605, HS-grad, White, Female,35, United-States
46,176863, HS-grad, White, Male,40, United-States
51,53197, HS-grad, White, Male,40, United-States
35,267776, HS-grad, White, Female,30, United-States
24,308205, 7th-8th, White, Male,40, Mexico
30,306383, Some-college, White, Male,50, United-States
70,35494, HS-grad, White, Male,30, United-States
26,291968, HS-grad, White, Male,44, United-States
34,80933, HS-grad, White, Male,40, United-States
46,271828, HS-grad, White, Male,40, United-States
70,121993, HS-grad, White, Female,5, United-States
37,31023, Some-college, White, Male,40, United-States
36,36425, Some-college, White, Female,35, United-States
23,407684, 9th, White, Female,40, Mexico
28,241895, HS-grad, White, Male,40, United-States
44,158555, Some-college, White, Male,50, United-States
58,140363, HS-grad, White, Male,30, United-States
53,123429, Some-college, White, Male,60, United-States
23,40060, Some-college, White, Male,40, United-States
26,290286, HS-grad, Black, Male,40, United-States
21,249271, Some-college, White, Male,40, United-States
34,106169, Masters, White, Female,50, United-States
43,76487, 11th, White, Male,40, United-States
22,437994, Some-college, Black, Male,20, United-States
41,113555, Some-college, Amer-Indian-Eskimo, Male,50, United-States
36,160120, HS-grad, Asian-Pac-Islander, Male,40, Vietnam
41,343079, Bachelors, White, Female,20, United-States
27,406662, HS-grad, White, Male,40, United-States
42,37618, Some-college, White, Male,60, United-States
27,114158, Assoc-voc, White, Female,35, United-States
41,115562, HS-grad, White, Male,40, United-States
32,353994, Bachelors, Asian-Pac-Islander, Female,40, China
21,344891, Some-college, Asian-Pac-Islander, Male,20, United-States
44,286750, Bachelors, Black, Male,50, United-States
29,194197, Bachelors, White, Male,40, United-States
19,206599, Some-college, White, Female,22, United-States
21,596776, Some-college, White, Male,40, Guatemala
46,56841, HS-grad, White, Male,40, United-States
38,112561, Bachelors, White, Male,55, United-States
43,147110, Some-college, White, Male,48, United-States
54,175339, HS-grad, White, Male,50, United-States
38,234901, Masters, White, Male,60, United-States
18,298133, Some-college, White, Male,40, United-States
50,217083, HS-grad, White, Female,40, United-States
30,97757, Assoc-voc, White, Female,36, United-States
30,151868, 9th, White, Male,40, United-States
28,25864, HS-grad, Amer-Indian-Eskimo, Female,35, United-States
26,109419, Assoc-voc, White, Female,45, United-States
37,203070, Some-college, White, Male,43, United-States
32,107843, HS-grad, White, Male,50, United-States
64,264544, Masters, White, Female,5, United-States
18,148644, HS-grad, White, Female,28, United-States
30,125762, Some-college, White, Male,30, United-States
36,53606, Assoc-voc, White, Female,8, United-States
18,193741, 11th, Black, Male,30, United-States
27,588905, HS-grad, White, Male,40, United-States
49,115613, 9th, White, Male,40, United-States
46,222374, HS-grad, White, Male,43, United-States
37,185359, HS-grad, White, Male,40, United-States
30,173647, Some-college, White, Male,40, United-States
29,31166, HS-grad, Other, Female,30, Germany
22,517995, HS-grad, White, Male,40, Mexico
25,189027, HS-grad, White, Male,30, United-States
38,296125, HS-grad, Black, Female,30, United-States
32,640383, Bachelors, White, Female,40, United-States
35,334291, Some-college, White, Male,50, United-States
56,318450, Masters, White, Male,80, United-States
29,174163, Some-college, White, Female,40, United-States
41,119721, HS-grad, White, Male,40, United-States
47,142719, HS-grad, White, Male,40, United-States
23,162593, Bachelors, Asian-Pac-Islander, Female,40, United-States
46,236852, Bachelors, White, Male,45, United-States
28,154863, HS-grad, Black, Male,40, United-States
39,168894, Bachelors, White, Female,20, United-States
42,344920, Some-college, White, Female,50, United-States
39,33355, HS-grad, White, Male,48, United-States
68,196782, 7th-8th, White, Male,30, United-States
37,291518, Bachelors, White, Male,55, United-States
57,170244, Prof-school, White, Female,40, United-States
22,369549, Some-college, Black, Female,30, United-States
24,23438, Assoc-voc, White, Male,30, United-States
19,202673, Some-college, White, Male,50, United-States
55,171780, Assoc-acdm, Black, Female,30, United-States
37,264503, HS-grad, White, Male,40, United-States
37,244341, Some-college, Black, Female,40, United-States
28,209109, Bachelors, White, Male,50, United-States
27,187392, HS-grad, White, Female,40, United-States
40,119578, Bachelors, White, Female,20, United-States
51,195105, HS-grad, White, Female,40, United-States
52,101752, Assoc-voc, White, Male,56, United-States
74,95825, Some-college, White, Female,3, United-States
49,362654, Some-college, White, Male,50, United-States
20,29810, Some-college, White, Female,40, United-States
40,77332, Some-college, White, Female,50, United-States
80,87518, Some-college, White, Male,60, United-States
63,113324, Some-college, White, Male,40, United-States
63,96299, HS-grad, White, Male,45, United-States
51,237729, Some-college, White, Female,40, United-States
23,200973, HS-grad, White, Female,40, United-States
66,212456, HS-grad, White, Male,20, United-States
33,131568, HS-grad, White, Male,66, United-States
49,185859, HS-grad, White, Male,43, United-States
20,231981, Some-college, White, Male,32, United-States
33,117963, Assoc-acdm, White, Male,60, United-States
26,78172, Some-college, White, Male,40, United-States
52,164135, HS-grad, White, Male,50, United-States
33,171216, Bachelors, White, Male,50, United-States
47,140664, Bachelors, White, Male,45, United-States
23,249277, HS-grad, Black, Male,75, United-States
53,117847, Assoc-acdm, White, Male,40, United-States
19,52372, Some-college, White, Male,20, United-States
26,95806, Some-college, White, Male,40, United-States
53,137428, 7th-8th, White, Male,60, United-States
65,169047, HS-grad, White, Male,10, United-States
68,339168, Bachelors, White, Male,30, United-States
30,504725, 10th, White, Male,18, Guatemala
28,132870, 11th, White, Male,45, United-States
54,135840, 10th, White, Male,45, United-States
30,35644, HS-grad, White, Male,10, United-States
22,198148, Some-college, White, Male,50, United-States
25,220098, HS-grad, White, Male,30, United-States
19,262515, 11th, White, Male,20, United-States
19,423863, Some-college, White, Female,35, United-States
32,111567, Prof-school, White, Male,40, United-States
23,194096, Bachelors, White, Female,40, United-States
51,420917, Bachelors, White, Male,45, United-States
25,197871, Some-college, White, Male,44, United-States
46,253116, Bachelors, Black, Female,40, United-States
38,206535, Some-college, White, Female,50, United-States
26,70447, HS-grad, Asian-Pac-Islander, Male,40, United-States
46,201217, HS-grad, White, Female,40, United-States
25,209970, Bachelors, White, Female,40, United-States
20,196745, Some-college, White, Female,16, United-States
29,175262, Masters, White, Male,35, United-States
51,304955, Masters, White, Male,50, United-States
40,181265, Some-college, White, Male,52, United-States
24,200973, Some-college, White, Female,40, United-States
24,37440, Bachelors, White, Male,50, United-States
31,395170, Assoc-voc, Amer-Indian-Eskimo, Female,24, Mexico
54,32385, HS-grad, White, Female,30, United-States
34,353213, Assoc-acdm, White, Male,60, United-States
19,38619, Some-college, White, Male,66, United-States
21,177711, HS-grad, Black, Male,40, United-States
21,190761, 10th, White, Male,70, United-States
23,27776, Some-college, White, Male,24, United-States
37,470663, Some-college, White, Male,40, United-States
40,71738, Masters, White, Male,46, United-States
57,74156, HS-grad, White, Male,30, United-States
48,202467, Bachelors, White, Male,40, United-States
24,123983, 11th, Asian-Pac-Islander, Male,40, Vietnam
43,193494, Some-college, White, Male,40, United-States
32,169886, Bachelors, White, Female,20, NA
40,130571, HS-grad, White, Female,40, United-States
52,90363, Prof-school, White, Male,35, United-States
49,83444, HS-grad, White, Male,40, United-States
45,239093, Some-college, Amer-Indian-Eskimo, Male,40, United-States
62,151369, HS-grad, White, Male,40, United-States
29,56630, Assoc-voc, White, Male,40, United-States
49,117095, HS-grad, White, Female,40, United-States
55,189985, Some-college, Black, Female,40, United-States
20,34862, Some-college, Amer-Indian-Eskimo, Male,72, United-States
37,126675, Bachelors, White, Male,40, United-States
43,199806, Bachelors, White, Male,40, United-States
29,57596, Some-college, White, Female,40, United-States
44,103459, HS-grad, White, Female,40, United-States
28,282398, Some-college, White, Male,40, United-States
38,298841, Some-college, White, Female,45, United-States
45,33300, Assoc-voc, White, Male,50, United-States
22,306031, Some-college, White, Male,40, United-States
19,306467, Some-college, White, Female,20, United-States
20,189888, 12th, White, Male,40, United-States
60,83861, HS-grad, White, Male,40, United-States
30,117393, HS-grad, White, Female,40, United-States
22,129934, Some-college, Asian-Pac-Islander, Male,40, NA
51,179010, Some-college, White, Female,60, United-States
31,375680, Bachelors, Black, Female,40, NA
48,316101, HS-grad, White, Female,40, United-States
43,293305, Bachelors, White, Male,40, United-States
51,175750, HS-grad, Black, Male,40, United-States
41,121718, Assoc-voc, White, Male,48, United-States
62,94931, Assoc-voc, White, Male,40, United-States
50,229272, HS-grad, Black, Male,40, United-States
46,142828, HS-grad, White, Female,40, United-States
54,22743, Some-college, White, Male,60, United-States
68,76371, HS-grad, White, Male,45, United-States
23,216129, Assoc-acdm, White, Male,30, United-States
49,107425, Masters, White, Female,35, United-States
24,611029, 10th, White, Male,40, United-States
30,363032, HS-grad, Black, Male,40, United-States
38,170020, HS-grad, White, Male,45, United-States
34,137900, HS-grad, White, Female,35, United-States
22,322674, Some-college, White, Male,40, United-States
30,23778, 7th-8th, White, Male,40, United-States
61,147845, 7th-8th, White, Male,31, United-States
36,175759, HS-grad, White, Male,40, United-States
51,166459, Assoc-voc, White, Male,40, United-States
43,128212, 5th-6th, Asian-Pac-Islander, Female,40, Vietnam
54,127455, Some-college, White, Male,48, United-States
63,134699, HS-grad, White, Female,25, United-States
51,254230, Some-college, White, Male,40, United-States
63,159715, 10th, White, Male,40, United-States
51,116286, Masters, White, Male,60, United-States
27,146719, HS-grad, White, Female,35, United-States
35,361888, Assoc-acdm, White, Male,40, United-States
31,26553, Bachelors, White, Female,25, United-States
46,32825, HS-grad, White, Male,40, United-States
53,225768, Assoc-voc, Black, Male,40, United-States
26,393728, Some-college, White, Male,24, United-States
43,160369, HS-grad, White, Male,40, United-States
39,191807, HS-grad, White, Male,50, United-States
50,176969, HS-grad, White, Male,40, United-States
54,33863, HS-grad, White, Male,40, United-States
62,182687, Some-college, White, Female,45, United-States
57,141459, Some-college, White, Female,40, United-States
19,174233, Some-college, Black, Male,24, United-States
29,95393, HS-grad, White, Male,20, United-States
20,221095, HS-grad, Black, Male,40, United-States
53,104501, Bachelors, White, Male,55, United-States
18,437851, Some-college, White, Male,40, United-States
22,131230, Some-college, White, Male,40, United-States
23,495888, HS-grad, White, Male,40, El-Salvador
69,185691, 11th, White, Male,20, United-States
56,201822, 7th-8th, White, Male,40, United-States
53,549341, Bachelors, Black, Male,35, United-States
28,247445, HS-grad, White, Male,40, United-States
28,199566, Bachelors, Black, Male,40, United-States
33,139057, HS-grad, Asian-Pac-Islander, Male,84, Taiwan
48,185039, HS-grad, White, Female,30, United-States
61,166124, HS-grad, White, Male,40, United-States
49,82649, Bachelors, White, Male,45, United-States
48,109275, Some-college, White, Male,40, United-States
32,408328, 7th-8th, White, Male,40, United-States
51,186338, HS-grad, White, Male,40, United-States
27,130856, Bachelors, White, Male,40, United-States
19,251579, Some-college, White, Male,14, United-States
47,76612, HS-grad, White, Male,50, United-States
25,22546, Bachelors, White, Male,60, United-States
72,53684, Some-college, Black, Male,40, United-States
29,183627, 11th, White, Male,40, United-States
22,73203, HS-grad, White, Female,40, United-States
57,108426, HS-grad, Black, Male,48, England
50,116287, Assoc-acdm, White, Male,60, Columbia
45,145697, Some-college, White, Male,30, United-States
52,326156, Some-college, White, Male,40, United-States
53,201127, Masters, White, Male,48, United-States
36,250791, HS-grad, White, Male,48, United-States
46,328216, HS-grad, White, Male,40, United-States
20,400443, HS-grad, White, Female,20, United-States
75,95985, 5th-6th, Black, Male,10, United-States
32,127651, HS-grad, White, Male,40, United-States
28,250679, HS-grad, White, Male,40, United-States
53,103950, Masters, White, Female,40, United-States
17,200199, 11th, White, Female,35, United-States
46,295791, Assoc-voc, White, Female,38, United-States
39,191841, Assoc-acdm, White, Female,30, United-States
38,82622, Some-college, White, Male,40, United-States
36,160728, HS-grad, White, Male,60, United-States
63,109849, Bachelors, Black, Female,21, United-States
28,339897, 1st-4th, White, Male,43, Mexico
28,37215, Bachelors, White, Male,45, United-States
49,371299, HS-grad, White, Female,35, United-States
43,421837, Some-college, White, Male,40, Mexico
38,29702, Bachelors, White, Male,45, United-States
39,117381, HS-grad, White, Male,62, England
42,240027, HS-grad, Black, Female,40, United-States
40,338740, HS-grad, White, Male,40, United-States
45,28359, HS-grad, White, Female,10, United-States
29,315026, HS-grad, White, Female,40, United-States
24,314525, Bachelors, White, Male,45, United-States
30,173005, Some-college, White, Male,50, United-States
44,286750, Some-college, Black, Male,40, United-States
40,163985, HS-grad, White, Male,24, United-States
30,219318, HS-grad, White, Female,35, Puerto-Rico
42,44121, Masters, White, Female,40, United-States
52,103794, Assoc-voc, White, Female,35, United-States
42,310632, Some-college, Black, Male,40, United-States
39,153976, Some-college, White, Male,52, United-States
43,174575, Some-college, White, Male,45, United-States
62,82388, HS-grad, White, Male,40, United-States
30,207253, Assoc-voc, White, Male,40, England
83,251951, HS-grad, White, Female,20, United-States
39,746786, Bachelors, White, Male,55, United-States
41,308296, HS-grad, White, Female,20, United-States
49,101825, Masters, White, Female,40, United-States
25,109009, 11th, White, Male,40, United-States
48,413363, 11th, White, Male,40, United-States
59,117751, Assoc-acdm, White, Male,8, United-States
44,296326, Bachelors, White, Male,40, United-States
36,208358, 9th, White, Male,56, United-States
40,120277, HS-grad, White, Male,40, Ireland
21,193219, HS-grad, Black, Female,35, Jamaica
41,86399, Some-college, White, Female,38, United-States
24,215251, Bachelors, White, Female,50, United-States
67,124470, HS-grad, White, Male,60, United-States
24,228649, Bachelors, White, Male,38, United-States
50,386397, Bachelors, White, Male,60, United-States
48,96798, Masters, White, Male,35, United-States
55,106707, Assoc-acdm, Black, Male,20, United-States
29,159768, HS-grad, White, Male,40, Ecuador
50,139464, Bachelors, White, Female,36, Ireland
64,550848, 10th, White, Male,40, United-States
49,68505, 9th, Black, Male,37, United-States
20,122215, HS-grad, Black, Male,52, United-States
30,159442, HS-grad, White, Female,40, United-States
37,80638, Bachelors, Asian-Pac-Islander, Male,30, China
52,192390, HS-grad, White, Male,40, United-States
22,191324, Some-college, White, Male,25, United-States
77,147284, HS-grad, White, Female,14, United-States
19,73009, Some-college, White, Male,15, United-States
52,177858, HS-grad, White, Male,55, United-States
42,163003, Bachelors, Asian-Pac-Islander, Female,40, United-States
35,95551, HS-grad, White, Female,36, United-States
27,125298, Some-college, White, Female,50, United-States
54,198186, HS-grad, Black, Female,38, United-States
37,295949, HS-grad, White, Male,40, United-States
37,182668, 10th, White, Male,35, United-States
28,124905, 7th-8th, White, Male,30, United-States
63,171635, Bachelors, White, Male,40, United-States
19,376240, HS-grad, White, Male,42, United-States
28,157391, Bachelors, White, Female,40, United-States
23,114357, Some-college, White, Male,40, United-States
44,178134, Prof-school, White, Female,40, United-States
31,207201, Some-college, White, Male,40, United-States
35,124483, Bachelors, Asian-Pac-Islander, Male,50, NA
64,102103, HS-grad, White, Female,50, United-States
40,92036, HS-grad, White, Male,40, United-States
